date,unga_2kg,rice_1kg,cooking_oil_1L,milk_1L,tomatoes_1kg,matatu_fare,electricity_monthly,rent_1br,monthly_total,food_cost,transport_cost,utilities_cost,housing_cost,month_num
2020-01-01,92.48357076505616,116.16660609723768,189.49238336451657,51.87700204329502,48.11218892350949,25.85502494538964,825.9673257120586,13030.373962440994,18206.759894805724,3005.95730949241,1344.4612971602612,825.9673257120586,13030.373962440994,0
2020-02-01,91.34257679922882,119.44693157651996,171.46023189839534,47.937001907022335,59.29590253053889,27.877060900710067,886.8064371755526,12979.36533647584,18300.33500336977,2984.556062881459,1449.6071668369234,886.8064371755526,12979.36533647584,1
2020-03-01,97.30623930067296,113.01372698761278,201.5792944430976,47.80427165835904,69.6087074897916,35.09240022900614,814.9009756280045,12078.907756268938,17865.232048132806,3146.618504327543,1824.8048119083192,814.9009756280045,12078.907756268938,2
2020-04-01,103.71684419729436,113.22695717684616,170.29643131428924,52.97284097454311,76.03717537017894,35.085749632252075,850.5940606812183,12790.87022123989,18756.912930164828,3290.9896673666117,1824.458980877108,850.5940606812183,12790.87022123989,3
2020-05-01,96.9648263467223,130.22902013847562,196.53381054933203,51.3635099491072,46.06335050433285,32.60735643695892,875.1851656872506,12729.467635809524,18385.71465166179,3085.479315443152,1695.582534721864,875.1851656872506,12729.467635809524,4
2020-06-01,98.99880674067782,135.51093717771911,218.1498742893808,54.68437436363221,60.06722722509764,33.976467425018484,830.7864340328268,13192.79035503736,19134.91235145964,3344.559256288486,1766.7763061009612,830.7864340328268,13192.79035503736,5
2020-07-01,110.09945390804543,125.01713936634036,182.35085223402496,54.47056033134776,58.977515247839904,40.45612108911162,872.2215732430632,12127.707761235371,18410.44485291969,3306.797221807449,2103.718296633804,872.2215732430632,12127.707761235371,6
2020-08-01,108.07446178135775,134.55368691194977,189.81459673629217,53.34083529592769,57.31870557919093,31.78790576768526,871.8160607170558,13054.89013677888,18887.483283338897,3307.8059859233267,1652.9710999196336,871.8160607170558,13054.89013677888,7
2020-09-01,103.9238145110032,130.35071531902514,200.1788672285093,51.52741545596428,94.61740682455545,38.15921571940951,886.2397371308314,13342.771565458692,19753.929195535693,3540.638675536874,1984.2792174092945,886.2397371308314,13342.771565458692,8
2020-10-01,111.01788496369254,123.22887247163358,195.31422435399543,50.03172951238308,75.22726803729569,35.09073165308477,852.8749345360402,12035.88449407658,18087.61722742312,3374.1397528500925,1824.7180459604078,852.8749345360402,12035.88449407658,9
2020-11-01,108.02189458678517,132.21319874237238,185.12085238652844,53.7452009065108,51.256232210398046,35.691255000813044,902.9204239671844,12425.319896209485,18432.409112469177,3248.2235322502283,1855.9452600422783,902.9204239671844,12425.319896209485,10
2020-12-01,110.04423258808092,142.55852981986334,206.92445061292656,58.16241672195347,84.95436988378775,42.95151137858002,936.7643213419336,12099.02797891656,18976.59106666398,3707.320174719325,2233.478591686161,936.7643213419336,12099.02797891656,11
2021-01-01,115.61659101884712,130.89983236508647,195.7269317064732,56.74397614764485,104.03573278569796,42.26267496527913,994.5910786948368,13085.635565828568,20085.03704898047,3807.15130626255,2197.6590981945146,994.5910786948368,13085.635565828568,12
2021-02-01,106.87427674281273,144.63579331430864,216.5305667947408,52.87295315538946,88.70731789131806,42.88110750203709,980.1669311347688,13680.805026203065,20524.505674471315,3633.7161270275515,2229.8175901059285,980.1669311347688,13680.805026203065,13
2021-03-01,109.84998710862128,112.09288662490916,202.1872481722452,57.63818684535016,51.446738646283016,46.01891945950046,1050.03200423151,14174.907339607336,20913.80674152324,3295.8835857903646,2392.983811894024,1050.03200423151,14174.907339607336,14
2021-04-01,117.69703693006632,140.55827088245942,234.19243319919357,58.7830707832543,67.99072619514182,40.274510733587526,914.1749947369536,13562.471119023448,20262.702142501927,3691.781470594976,2094.2745581465515,914.1749947369536,13562.471119023448,15
2021-05-01,117.47821727968382,135.6116307831935,208.56706218688043,55.484020911735584,95.27485367847731,44.257222483593466,1006.3278962428136,14441.42641685344,21520.41551564965,3771.2856334065355,2301.3755691468605,1006.3278962428136,14441.42641685344,16
2021-06-01,126.14750784941704,133.4553988233917,216.47424485637933,59.10524311444676,66.67309360893863,39.97408994584627,982.048456219121,13038.762830214588,19790.903722579824,3691.439758962106,2078.6526771840063,982.048456219121,13038.762830214588,17
2021-07-01,122.07004911391935,137.51374722923316,232.47407101521569,59.32716852821935,84.96237616795614,43.82422159295068,1092.5409941185108,12978.817254898691,20208.023675617394,3857.8059037667545,2278.859522833435,1092.5409941185108,12978.817254898691,18
